UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON13,DRUG13,LIQUOR13,WEAPON14,DRUG14,LIQUOR14,WEAPON15,DRUG15,LIQUOR15,FILTER13,FILTER14,FILTER15,FID,Longitude,Latitude
109785001,Azusa Pacific University,Azusa (main campus),901 E. Alosta Ave.,AZUSA,CA,917027000,2,"Private nonprofit, 4-year or above",3232,6743,9975,0,10,0,0,2,0,1,1,0,1,1,1,77,-117.889865107009,34.1288967611656
109819001,Bakersfield College,Bakersfield College,1801 Panorama Drive,Bakersfield,CA,933051299,4,"Public, 2-year",9055,11393,20448,0,0,0,1,0,0,2,0,0,1,1,1,78,-118.973315702593,35.4109923383549
109907001,Barstow Community College,Barstow Community College District,2700 BARSTOW RD,BARSTOW,CA,923116608,4,"Public, 2-year",1138,1970,3108,0,0,0,0,0,0,0,0,0,1,1,1,79,-117.021120170154,34.8709126427832
109934001,Bellus Academy-National City,Main Campus,1520 PLAZA BLVD,NATIONAL CITY,CA,91950,6,"Private for-profit, 2-year",14,150,164,0,0,0,0,0,0,0,0,0,1,1,1,80,-117.089797055446,32.6768216155818
110060001,Bethesda University,Main Campus,730 N. Euclid St.,Anaheim,CA,92801,2,"Private nonprofit, 4-year or above",213,151,364,0,0,0,0,0,0,0,0,0,1,1,1,81,-117.941579395846,33.8423303608001
110097001,Biola University,Main Campus,13800 BIOLA AVE,LA MIRADA,CA,906390001,2,"Private nonprofit, 4-year or above",2832,3395,6227,0,1,0,0,1,0,1,0,0,1,1,1,82,-118.018093700208,33.9055439881196
110194001,Brownson Technical School,Main Campus,1110 TECHNOLOGY CIR STE D,ANAHEIM,CA,92805,9,"Private for-profit, less-than 2-year",46,0,46,0,0,0,0,0,0,0,0,0,1,1,1,83,-117.906595386556,33.8191490645665
110219001,Bryan University,Main Campus,3580 Wilshire Blvd suite 400,LOS ANGELES,CA,90010,3,"Private for-profit, 4-year or above",463,954,1417,0,0,0,0,0,0,1,0,0,1,1,1,84,-118.302784721288,34.0617005135691
110246001,Butte College,Butte Community College,3536 Butte Campus Drive,Oroville,CA,959658399,4,"Public, 2-year",5573,6096,11669,1,1,1,0,1,2,0,2,0,1,1,1,85,-121.645382232724,39.6510401060881
110307001,Phillips Graduate Institute,Main Campus,19900 Plummer St.,Chatsworth,CA,91311,2,"Private nonprofit, 4-year or above",42,184,226,0,0,0,0,0,0,0,0,0,1,1,1,86,-118.567649923148,34.2426945384854
110316001,California Institute of Integral Studies,Main Campus,1453 Mission St,San Francisco,CA,94103,2,"Private nonprofit, 4-year or above",392,1096,1488,0,0,0,0,0,0,0,0,0,1,1,1,87,-122.416473355117,37.7747917561437
110334001,Cabrillo College,Aptos Campus,6500 SOQUEL DR,APTOS,CA,95003,4,"Public, 2-year",6144,6942,13086,0,2,0,0,0,0,2,0,0,1,1,1,88,-121.924400231986,36.988198020824
110361001,California Baptist University,Main Campus,8432 MAGNOLIA AVE,RIVERSIDE,CA,925043297,2,"Private nonprofit, 4-year or above",2973,5568,8541,0,0,0,0,1,0,0,0,0,1,1,1,89,-117.426626607331,33.9315772006238
110370001,California College of the Arts,Oakland Campus,5212 BROADWAY,OAKLAND,CA,946181487,2,"Private nonprofit, 4-year or above",742,1233,1975,0,0,0,0,0,0,0,0,0,1,1,1,90,-122.25132117315,37.8360426024777
110398001,University of California-Hastings College of Law,Main Campus,200 McALLISTER ST.,SAN FRANCISCO,CA,941024707,1,"Public, 4-year or above",447,503,950,0,0,0,0,0,0,0,0,0,1,1,1,91,-122.415544990289,37.7807292709351
110404001,California Institute of Technology,Main Campus,"1200 E CALIFORNIA BLVD, MC 200-63",PASADENA,CA,91125,2,"Private nonprofit, 4-year or above",1518,737,2255,0,0,0,0,0,0,0,0,0,1,1,1,92,-118.126530723356,34.1358794962507
110413001,California Lutheran University,Main Campus,60 W OLSEN RD,THOUSAND OAKS,CA,913602787,2,"Private nonprofit, 4-year or above",1715,2411,4126,0,1,0,0,7,0,0,0,0,1,1,1,93,-118.880886041563,34.224960737723
110422001,California Polytechnic State University-San Luis Obispo,Main Campus,1 Grand Avenue,SAN LUIS OBISPO,CA,93407,1,"Public, 4-year or above",11161,9783,20944,2,46,11,3,53,26,2,16,30,1,1,1,94,-120.653027352076,35.2960621129504
110468001,Alliant International University-San Diego,San Diego Campus,10455 POMERADO ROAD,SAN DIEGO,CA,921311799,3,"Private for-profit, 4-year or above",1109,2400,3509,0,0,0,0,0,0,0,0,0,1,1,1,95,-117.098823216928,32.8994925246097
110486001,California State University-Bakersfield,Main Campus,9001 STOCKDALE HWY,BAKERSFIELD,CA,933111022,1,"Public, 4-year or above",3526,5702,9228,0,2,3,1,7,2,0,4,4,1,1,1,96,-119.104182566932,35.3543214673061
110495001,California State University-Stanislaus,CSU Stanislaus - Turlock,One University Circle,TURLOCK,CA,95382,1,"Public, 4-year or above",3244,6038,9282,0,2,1,2,1,2,1,4,2,1,1,1,97,-120.858502499662,37.5234406998892
110510001,California State University-San Bernardino,"California State University, San Bernardino",5500 University Pkwy.,San Bernardino,CA,924072397,1,"Public, 4-year or above",7851,12173,20024,0,3,0,2,6,2,1,4,0,1,1,1,98,-117.326600299983,34.1791724262986
110529001,California State Polytechnic University-Pomona,Main Campus,3801 W TEMPLE AVE,POMONA,CA,91768,1,"Public, 4-year or above",13124,10593,23717,0,2,6,3,13,2,9,4,1,1,1,1,99,-117.816561064367,34.0503316075076
110538001,California State University-Chico,Main Campus,400 W. 1st  St,Chico,CA,959290150,1,"Public, 4-year or above",8042,9178,17220,5,20,1,2,14,3,3,9,3,1,1,1,100,-121.844276996276,39.7289406154351
110547001,California State University-Dominguez Hills,California State University Dominguez Hills,1000 E VICTORIA ST,CARSON,CA,907470005,1,"Public, 4-year or above",5173,9462,14635,0,1,2,2,2,0,1,7,0,1,1,1,101,-118.25745065118,33.8671661610298
110556001,California State University-Fresno,Main Campus,5200 N BARTON AVE,FRESNO,CA,93740,1,"Public, 4-year or above",10052,14084,24136,5,29,1,5,26,0,3,13,0,1,1,1,102,-119.749972643654,36.8113013456563
110565001,California State University-Fullerton,Main Campus,800 N STATE COLLEGE BLVD,FULLERTON,CA,928319480,1,"Public, 4-year or above",17338,21610,38948,3,9,1,4,10,2,3,11,5,1,1,1,103,-117.889592008383,33.8781177315346
110574001,California State University-East Bay,Main Campus,25800 CARLOS BEE BLVD,HAYWARD,CA,94542,1,"Public, 4-year or above",5972,9556,15528,0,0,0,1,1,1,2,2,1,1,1,1,104,-122.062139874799,37.6588172816591
110583001,California State University-Long Beach,Main Campus,1250 BELLFLOWER BLVD,LONG BEACH,CA,908400115,1,"Public, 4-year or above",16147,21299,37446,2,7,1,1,14,4,7,10,1,1,1,1,105,-118.122355061065,33.7822334998146
110592001,California State University-Los Angeles,"California State University, Los Angeles",5151 STATE UNIVERSITY DR,LOS ANGELES,CA,90032,1,"Public, 4-year or above",11563,16117,27680,0,6,0,1,3,0,2,6,0,1,1,1,106,-118.171613153794,34.0623679019613
110608001,California State University-Northridge,"California State University, Northridge",18111 NORDHOFF ST,NORTHRIDGE,CA,913308282,1,"Public, 4-year or above",18784,22764,41548,2,11,2,0,23,4,1,27,3,1,1,1,107,-118.528457705605,34.235566635372
110617001,California State University-Sacramento,Sacramento State,6000 J Street,Sacramento,CA,958192694,1,"Public, 4-year or above",13121,17163,30284,4,7,1,3,10,0,4,3,3,1,1,1,108,-121.427433211155,38.56714523039
110635001,University of California-Berkeley,Main Campus,Rm. 1 Sproul Hall,Berkeley,CA,947201199,1,"Public, 4-year or above",18966,19223,38189,30,180,63,31,76,35,15,61,24,1,1,1,109,-122.259194502373,37.8691969173645
110644001,University of California-Davis,Main Campus,One Shields Avenue,DAVIS,CA,956168678,1,"Public, 4-year or above",14893,20293,35186,2,1,47,4,6,45,7,9,50,1,1,1,110,-121.747214249914,38.5407630003138
110653001,University of California-Irvine,UCI Main Campus,"University of California, Irvine",IRVINE,CA,92697,1,"Public, 4-year or above",14806,16030,30836,7,60,29,10,30,23,3,6,9,1,1,1,111,-117.842010000397,33.6495200000683
110662001,University of California-Los Angeles,UCLA,405 HILGARD AVE,LOS ANGELES,CA,900951364,1,"Public, 4-year or above",19683,22225,41908,0,14,5,0,16,8,5,19,11,1,1,1,112,-118.437947389503,34.0739831150631
110671001,University of California-Riverside,Main Campus,900 UNIVERSITY AVE,RIVERSIDE,CA,92521,1,"Public, 4-year or above",10483,10902,21385,6,12,1,2,6,8,2,17,0,1,1,1,113,-117.331175249943,33.9755880580861
110680001,University of California-San Diego,Main Campus,9500 Gilman Dr Mail Code 0005,La Jolla,CA,920930005,1,"Public, 4-year or above",17822,15084,32906,6,41,69,8,47,248,8,31,68,1,1,1,114,-117.236542500324,32.8769605219877
110699001,University of California-San Francisco,Main Campus - Parnassus,513 Parnassus Ave,San Francisco,CA,941430402,1,"Public, 4-year or above",1150,1957,3107,4,7,0,4,6,0,0,7,0,1,1,1,115,-122.458918690308,37.7631362867477
